Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-05-31,2016,5,31,Tuesday,22,2016-22,210.56,210.69,209.18,209.84,109879400,181.47,-0.0019027049092001924,178.88357142857143,178.65859999999998
2016-06-01,2016,6,1,Wednesday,22,2016-22,209.12,210.48,208.89,210.27,69936200,181.84,0.0020491052044413482,179.11642857142857,178.7554
2016-06-02,2016,6,2,Thursday,22,2016-22,209.8,210.93,209.24,210.91,63044700,182.4,0.0030438773131580277,179.385,178.86519999999996
2016-06-03,2016,6,3,Friday,22,2016-22,210.25,210.69,208.86,210.28,101757100,181.85,-0.002987206994086611,179.72571428571428,178.98739999999998
2016-06-06,2016,6,6,Monday,23,2016-23,210.7,211.77,210.51,211.35,64887000,182.78,0.0050886340777380745,180.00785714285715,179.1298
2016-06-07,2016,6,7,Tuesday,23,2016-23,211.53,212.34,211.5,211.68,60974800,183.06,0.0015612035450949246,180.42928571428573,179.27579999999998
2016-06-08,2016,6,8,Wednesday,23,2016-23,211.84,212.52,211.69,212.37,66170900,183.66,0.003259822226371334,180.89000000000001,179.4012
2016-06-09,2016,6,9,Thursday,23,2016-23,211.51,212.22,211.19,212.08,73786900,183.41,-0.0013654427420051185,181.37642857142856,179.50599999999997
2016-06-10,2016,6,10,Friday,23,2016-23,210.46,210.86,209.43,210.07,113829200,181.67,-0.009477656902846743,181.65928571428572,179.5846
2016-06-13,2016,6,13,Monday,24,2016-24,209.36,210.37,208.35,208.45,117751200,180.27,-0.007711636613135564,181.8592857142857,179.611
2016-06-14,2016,6,14,Tuesday,24,2016-24,208.0,208.74,206.92,208.04,125059300,179.92,-0.0019673752422716406,181.86999999999998,179.642
2016-06-15,2016,6,15,Wednesday,24,2016-24,208.04,209.36,207.53,207.75,109124500,179.67,-0.0013936930576139428,181.7757142857143,179.7036
2016-06-16,2016,6,16,Thursday,24,2016-24,207.75,208.57,205.59,208.37,149533100,180.2,0.002984489757648312,181.71571428571428,179.7372
2016-06-17,2016,6,17,Friday,24,2016-24,207.17,207.2,205.75,206.52,117055700,179.53,-0.003724401408572997,181.55214285714285,179.80020000000002
2016-06-20,2016,6,20,Monday,25,2016-25,208.82,209.61,207.75,207.85,82789600,180.69,0.006440076360954006,181.4964285714286,179.877
2016-06-21,2016,6,21,Tuesday,25,2016-25,208.3,208.92,207.78,208.44,72461700,181.2,0.0028388364925269194,181.45071428571427,179.97220000000002
2016-06-22,2016,6,22,Wednesday,25,2016-25,208.65,209.5,207.93,208.1,95560500,180.9,-0.001631230154355956,181.34357142857144,180.0286
2016-06-23,2016,6,23,Thursday,25,2016-25,209.81,210.87,209.27,210.81,102731400,183.26,0.013022747845849114,181.4442857142857,180.09620000000004
2016-06-24,2016,6,24,Friday,25,2016-25,203.63,210.85,202.72,203.24,333444400,176.68,-0.035909329723041616,181.00857142857143,180.03199999999998
2016-06-27,2016,6,27,Monday,26,2016-26,201.59,201.6,198.65,199.6,230775800,173.51,-0.017909919262171003,180.32642857142855,179.9084
2016-06-28,2016,6,28,Tuesday,26,2016-26,201.48,203.23,201.12,203.2,159382400,176.64,0.018036208018689548,179.82500000000002,179.8222
2016-06-29,2016,6,29,Wednesday,26,2016-26,204.84,206.93,204.72,206.66,137328600,179.65,0.01702742879424335,179.55642857142857,179.7848
2016-06-30,2016,6,30,Thursday,26,2016-26,207.21,209.54,206.56,209.48,165021900,182.1,0.013645525832373773,179.58714285714288,179.79280000000003
2016-07-01,2016,7,1,Friday,26,2016-26,209.48,210.49,209.29,209.92,106055300,182.49,0.00210049425464387,179.74571428571429,179.8282
2016-07-05,2016,7,5,Tuesday,27,2016-27,208.95,209.08,207.71,208.41,109803700,181.17,-0.0071931690229996015,179.835,179.83720000000002
2016-07-06,2016,7,6,Wednesday,27,2016-27,207.83,209.8,207.06,209.66,96021500,182.26,0.005997872888048095,180.01999999999998,179.87420000000003
2016-07-07,2016,7,7,Thursday,27,2016-27,209.87,210.65,208.63,209.53,85593800,182.15,-0.0006201133215862908,180.15928571428572,179.9036
2016-07-08,2016,7,8,Friday,27,2016-27,211.05,212.94,210.78,212.65,133971000,184.86,0.014890362752220332,180.54,179.97979999999998
2016-07-11,2016,7,11,Monday,28,2016-28,213.19,214.07,212.95,213.4,73633900,185.51,0.003527052109986828,180.88428571428568,180.1018
2016-07-12,2016,7,12,Tuesday,28,2016-28,214.53,215.3,213.43,214.95,101275600,186.86,0.007263238008818007,181.28857142857143,180.27020000000002
2016-07-13,2016,7,13,Wednesday,28,2016-28,215.44,215.45,214.35,214.92,87324100,186.83,-0.00013963780892112254,181.71214285714285,180.40959999999998
2016-07-14,2016,7,14,Thursday,28,2016-28,216.4,216.67,215.66,216.12,91230900,187.88,0.005583515602457512,182.04214285714286,180.60140000000004
2016-07-15,2016,7,15,Friday,28,2016-28,216.78,217.01,215.31,215.83,107155400,187.62,-0.0013417124848215112,182.8235714285714,180.8078
2016-07-18,2016,7,18,Monday,29,2016-29,215.97,216.6,215.67,216.41,58725900,188.13,0.00268719284475738,183.86785714285716,181.0252
2016-07-19,2016,7,19,Tuesday,29,2016-29,215.92,216.23,215.63,216.19,54345700,187.94,-0.0010166155074013972,184.675,181.2258
2016-07-20,2016,7,20,Wednesday,29,2016-29,216.19,217.37,216.19,217.09,58159500,188.72,0.004163077002269588,185.32285714285715,181.43900000000002
2016-07-21,2016,7,21,Thursday,29,2016-29,216.96,217.22,215.75,216.27,67777300,188.01,-0.0037771208434489445,185.74500000000003,181.5938
2016-07-22,2016,7,22,Friday,29,2016-29,216.41,217.3,216.1,217.24,62787500,188.85,0.004485044481567613,186.1992857142857,181.79919999999998
2016-07-25,2016,7,25,Monday,30,2016-30,217.0,217.06,215.97,216.65,55873100,188.34,-0.002715726147891395,186.71142857142857,181.9932
2016-07-26,2016,7,26,Tuesday,30,2016-30,216.53,217.17,215.76,216.75,70080500,188.42,0.0004614018140585152,187.1514285714286,182.22
2016-07-27,2016,7,27,Wednesday,30,2016-30,217.19,217.27,215.62,216.52,84083900,188.22,-0.0010612611264382288,187.585,182.40779999999998
2016-07-28,2016,7,28,Thursday,30,2016-30,216.29,217.11,215.75,216.77,65035700,188.44,0.001154805462096009,187.84071428571428,182.6334
2016-07-29,2016,7,29,Friday,30,2016-30,216.46,217.54,216.13,217.12,79519400,188.75,0.00161470084672799,188.07214285714286,182.86419999999998
2016-08-01,2016,8,1,Monday,31,2016-31,217.19,217.65,216.41,216.94,73311400,188.59,-0.0008291296798108583,188.1957142857143,183.10399999999998
2016-08-02,2016,8,2,Tuesday,31,2016-31,216.65,216.83,214.57,215.55,92295500,187.38,-0.006407137726841539,188.23499999999999,183.2974
2016-08-03,2016,8,3,Wednesday,31,2016-31,215.48,216.25,215.13,216.18,53993600,187.93,0.0029223577263246536,188.23857142857145,183.5066
2016-08-04,2016,8,4,Thursday,31,2016-31,216.31,216.78,214.25,216.41,46585500,188.13,0.0010640595516091533,188.275,183.6738
2016-08-05,2016,8,5,Friday,31,2016-31,216.41,218.23,216.41,218.18,71892200,189.67,0.00817899375828568,188.385,183.84740000000002
2016-08-08,2016,8,8,Monday,32,2016-32,218.4,218.52,217.74,218.05,39906500,189.55,-0.0005957368411948494,188.5,184.0176
2016-08-09,2016,8,9,Tuesday,32,2016-32,218.13,218.76,217.8,218.18,51251700,189.67,0.0005960919551333266,188.56785714285715,184.1746
2016-08-10,2016,8,10,Wednesday,32,2016-32,218.31,218.4,217.23,217.64,57941100,189.2,-0.0024749828740742164,188.65285714285713,184.32920000000001
2016-08-11,2016,8,11,Thursday,32,2016-32,218.26,218.94,217.95,218.65,72504300,190.08,0.004640291515087824,188.7407142857143,184.49400000000003
2016-08-12,2016,8,12,Friday,32,2016-32,218.29,218.71,217.99,218.46,61313500,189.91,-0.0008686851642044635,188.85285714285715,184.6442
2016-08-15,2016,8,15,Monday,33,2016-33,218.89,219.5,218.88,219.09,49813500,190.46,0.0028839936184792414,188.9985714285714,184.8164
2016-08-16,2016,8,16,Tuesday,33,2016-33,218.6,218.68,217.96,217.96,53213600,189.48,-0.005157496937548411,189.0885714285714,184.9504
2016-08-17,2016,8,17,Wednesday,33,2016-33,218.0,218.53,217.02,218.37,75134300,189.83,0.0018809007159679147,189.18785714285715,185.0858
2016-08-18,2016,8,18,Thursday,33,2016-33,218.34,218.9,218.21,218.86,52989300,190.26,0.002243985540814064,189.29571428571427,185.2178
2016-08-19,2016,8,19,Friday,33,2016-33,218.31,218.75,217.74,218.54,75443000,189.98,-0.0014622181188008732,189.39499999999998,185.34920000000002
2016-08-22,2016,8,22,Monday,34,2016-34,218.26,218.8,217.83,218.53,61368800,189.97,-4.586162671749161e-05,189.57999999999998,185.5152
2016-08-23,2016,8,23,Tuesday,34,2016-34,219.25,219.6,218.9,218.97,53399200,190.35,0.00201342578368946,189.75285714285715,185.7168
2016-08-24,2016,8,24,Wednesday,34,2016-34,218.8,218.91,217.36,217.85,71728900,189.38,-0.005114792859185813,189.84214285714285,185.90599999999998
2016-08-25,2016,8,25,Thursday,34,2016-34,217.4,218.19,217.22,217.7,69224800,189.25,-0.0006885724449358088,189.81214285714285,186.09759999999997
2016-08-26,2016,8,26,Friday,34,2016-34,217.92,219.12,216.25,217.29,122506300,188.89,-0.0018832282387643007,189.76500000000001,186.2714
