Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-04-29,2016,4,29,Friday,17,2016-17,56.02,56.43,55.29,56.23,12133400,47.34,-0.0033675636716901103,49.69357142857143,49.76519999999999
2016-05-02,2016,5,2,Monday,18,2016-18,56.29,57.37,56.11,57.36,8616200,48.29,0.020095722466735966,49.565000000000005,49.76
2016-05-03,2016,5,3,Tuesday,18,2016-18,56.7,57.06,56.14,56.25,7854300,47.52,-0.015920111102509127,49.33857142857143,49.7192
2016-05-04,2016,5,4,Wednesday,18,2016-18,55.98,56.65,55.8,56.39,6508500,47.64,0.002489031515798157,49.12571428571429,49.68780000000001
2016-05-05,2016,5,5,Thursday,18,2016-18,56.37,56.77,56.01,56.25,6215400,47.52,-0.0024828516198672768,48.88142857142857,49.659800000000004
2016-05-06,2016,5,6,Friday,18,2016-18,55.96,56.32,55.38,56.31,6378700,47.57,0.001066785132343595,48.61785714285715,49.622
2016-05-09,2016,5,9,Monday,19,2016-19,56.32,56.93,56.23,56.64,5976200,47.85,0.005860384112930994,48.37357142857143,49.5968
2016-05-10,2016,5,10,Tuesday,19,2016-19,56.85,57.6,56.71,57.49,7931200,48.57,0.015007066651019585,48.18071428571428,49.5882
2016-05-11,2016,5,11,Wednesday,19,2016-19,57.13,57.39,56.09,56.23,8118900,47.5,-0.021917087978444938,47.92714285714286,49.5274
2016-05-12,2016,5,12,Thursday,19,2016-19,56.57,56.79,55.82,56.3,6870300,47.56,0.0012449585922580386,47.855714285714285,49.4758
2016-05-13,2016,5,13,Friday,19,2016-19,56.43,56.6,55.73,55.82,5466000,47.16,-0.0085256597503105,47.75071428571429,49.425
2016-05-16,2016,5,16,Monday,20,2016-20,55.7,55.77,55.2,55.53,9536200,46.91,-0.005195348551633949,47.63071428571429,49.37480000000001
2016-05-17,2016,5,17,Tuesday,20,2016-20,55.38,55.64,54.51,54.88,10530000,46.36,-0.011705533183987149,47.52071428571429,49.3254
2016-05-18,2016,5,18,Wednesday,20,2016-20,54.76,55.17,54.38,54.8,7455200,46.29,-0.0014575864556936047,47.434285714285714,49.281400000000005
2016-05-19,2016,5,19,Thursday,20,2016-20,54.43,54.62,54.19,54.55,7582800,46.08,-0.004562070109455085,47.34428571428572,49.242200000000004
2016-05-20,2016,5,20,Friday,20,2016-20,54.88,55.37,54.58,54.62,8430800,46.14,0.0012832172778558526,47.190714285714286,49.1966
2016-05-23,2016,5,23,Monday,21,2016-21,54.62,54.82,54.29,54.6,7352100,46.13,-0.0003661518302424671,47.09142857142857,49.1496
2016-05-24,2016,5,24,Tuesday,21,2016-21,54.74,55.62,54.68,55.44,7748700,46.84,0.015384754069049045,47.034285714285716,49.099000000000004
2016-05-25,2016,5,25,Wednesday,21,2016-21,55.2,55.46,54.95,55.15,8115500,46.59,-0.005230714321842633,46.96785714285714,49.035999999999994
2016-05-26,2016,5,26,Thursday,21,2016-21,55.55,55.87,54.95,55.29,9451700,46.71,0.002538430576384032,46.90642857142857,48.965599999999995
2016-05-27,2016,5,27,Friday,21,2016-21,55.36,55.55,55.1,55.15,6631100,46.59,-0.00253200326188463,46.816428571428574,48.894800000000004
2016-05-31,2016,5,31,Tuesday,22,2016-22,55.5,55.5,54.7,54.89,12044000,46.37,-0.004714391967152287,46.659285714285716,48.817
2016-06-01,2016,6,1,Wednesday,22,2016-22,54.76,55.49,54.72,54.82,8761600,46.31,-0.0012754328710080642,46.574285714285715,48.7482
2016-06-02,2016,6,2,Thursday,22,2016-22,54.9,55.0,54.46,54.62,8307500,46.14,-0.0036484887732819438,46.472857142857144,48.671200000000006
2016-06-03,2016,6,3,Friday,22,2016-22,54.71,55.08,54.4,54.61,6649200,46.13,-0.00018270389361840778,46.39928571428571,48.603199999999994
2016-06-06,2016,6,6,Monday,23,2016-23,54.72,55.87,54.69,55.59,9900900,46.96,0.01794504899798377,46.402857142857144,48.559799999999996
2016-06-07,2016,6,7,Tuesday,23,2016-23,55.65,56.1,55.28,55.3,7173100,46.72,-0.00521651968297987,46.42857142857143,48.501400000000004
2016-06-08,2016,6,8,Wednesday,23,2016-23,55.5,55.5,54.9,55.22,7623900,46.65,-0.0014466789747743514,46.45428571428572,48.4318
2016-06-09,2016,6,9,Thursday,23,2016-23,55.15,55.61,55.06,55.58,5927900,46.95,0.006519446104666482,46.51642857142857,48.3604
2016-06-10,2016,6,10,Friday,23,2016-23,54.92,55.2,54.5,54.87,8118700,46.35,-0.012774319648761634,46.53142857142858,48.2822
2016-06-13,2016,6,13,Monday,24,2016-24,54.79,55.6,54.76,55.04,7908400,46.5,0.0030979034261278127,46.557857142857145,48.184799999999996
2016-06-14,2016,6,14,Tuesday,24,2016-24,55.05,55.58,55.01,55.57,8036500,46.95,0.009629596570309484,46.565714285714286,48.10940000000001
2016-06-15,2016,6,15,Wednesday,24,2016-24,55.64,56.09,55.27,55.35,7447300,46.76,-0.00395889509773073,46.57785714285715,48.0338
2016-06-16,2016,6,16,Thursday,24,2016-24,54.9,55.59,54.41,55.53,7968000,46.91,0.003251740287609106,46.59214285714285,47.9478
2016-06-17,2016,6,17,Friday,24,2016-24,55.61,55.62,55.04,55.31,9503000,46.73,-0.003961666350751458,46.60214285714285,47.852399999999996
2016-06-20,2016,6,20,Monday,25,2016-25,55.77,56.28,55.38,55.38,7286700,46.78,0.0012655846851028496,46.63142857142857,47.760200000000005
2016-06-21,2016,6,21,Tuesday,25,2016-25,55.52,56.03,55.45,55.81,7445100,47.15,0.007764432724149506,46.691428571428574,47.677800000000005
2016-06-22,2016,6,22,Wednesday,25,2016-25,55.88,55.98,55.49,55.61,7215400,46.98,-0.0035835267320689645,46.751428571428576,47.6156
